year,state,genre,event_count
2023,MI,soul,2
2023,MI,unknown,1
2023,MN,breaks,1
2023,MN,dance,1
2023,MN,edm,1
2023,MN,electropop,1
2023,MN,folk,2
2023,MN,free jazz,1
2023,MN,hard rock,1
2023,MN,indie,1
2023,MN,indie pop,2
2023,MN,polka,1
2023,MN,pop punk,1
2023,MN,punk,1
2023,MN,punk rock,1
2023,MN,rock,1
2023,MN,symphonic metal,1
2023,MN,unknown,3
2023,MO,american idol,1
2023,MO,blue-eyed soul,1
2023,MO,classical,3
2023,MO,contemporary christian,3
2023,MO,dubstep,2
2023,MO,folk punk,1
2023,MO,hard rock,1
2023,MO,hardcore,1
2023,MO,progressive trance,1
2023,MO,southern rock,1
2023,MO,unknown,5
2023,MS,acid rock,1
2023,MS,alternative country,1
2023,MS,blues rock,2
2023,MS,comedy,1
2023,MS,country,5
2023,MS,country music,1
2023,MS,dixieland,1
2023,MS,emo,1
2023,MS,folk pop,1
2023,MS,garage rock,1
2023,MS,indie rock,2
2023,MS,progressive bluegrass,1
2023,MS,rock,1
2023,MS,sludge metal,1
2023,MT,alternative metal,1
2023,MT,alternative rock,1
2023,MT,americana,2
2023,MT,bluegrass,2
2023,MT,bluegrass music,3
2023,MT,blues rock,1
2023,MT,folk,1
2023,MT,funk,1
2023,MT,rock,3
2023,MT,rock and roll,5
2023,NC,afro-cuban jazz,1
2023,NC,alternative,1
2023,NC,drone,1
2023,NC,emo,1
2023,NC,folk,1
2023,NC,folk rock,1
2023,NC,funk,1
2023,NC,hip-hop,1
2023,NC,indie,1
2023,NC,jazz fusion,1
2023,NC,noise rock,1
2023,NC,pop punk,1
2023,NC,punk,1
2023,NC,punk rock,1
2023,NC,rnb,1
2023,NC,rock,1
2023,NC,rock and roll,1
2023,NC,shoegaze,1
2023,NC,soul,1
2023,NC,unknown,1
2023,ND,a cappella,1
2023,ND,alternative metal,1
2023,ND,breaks,2
2023,ND,christian rock,1
2023,ND,country,1
2023,ND,country rock,1
2023,ND,cybergrind,1
2023,ND,emo,1
2023,ND,folk pop,1
2023,ND,glam metal,1
2023,ND,hard rock,1
2023,ND,new age,2
2023,ND,rhythm & blues,4
2023,ND,screamo,1
2023,ND,unknown,1
2023,NE,art rock,1
2023,NE,country,1
2023,NE,death metal,2
2023,NE,electronic,1
2023,NE,folk,1
2023,NE,hard rock,2
2023,NE,hip hop,2
2023,NE,horror punk,1
2023,NE,melodic death metal,1
2023,NE,metal,1
2023,NE,metalcore,1
2023,NE,new age,1
2023,NE,nu metal,2
2023,NE,rap,1
2023,NE,rock,1
2023,NE,unknown,1
2023,NH,alternative rock,2
